product_id,product_name,category
PROD0110,Product 110,Beauty
PROD0111,Product 111,Apparel
PROD0112,Product 112,Sports
PROD0113,Product 113,Electronics
PROD0114,Product 114,Grocery
PROD0115,Product 115,Home
PROD0116,Product 116,Beauty
PROD0117,Product 117,Home
PROD0118,Product 118,Home
PROD0119,Product 119,Automotive
PROD0120,Product 120,Electronics
PROD0121,Product 121,Office
PROD0122,Product 122,Home
PROD0123,Product 123,Office
PROD0124,Product 124,Home
PROD0125,Product 125,Office
PROD0126,Product 126,Grocery
PROD0127,Product 127,Home
PROD0128,Product 128,Automotive
PROD0129,Product 129,Automotive
PROD0130,Product 130,Beauty
PROD0131,Product 131,Electronics
PROD0132,Product 132,Electronics
PROD0133,Product 133,Apparel
PROD0134,Product 134,Home
PROD0135,Product 135,Automotive
PROD0136,Product 136,Office
PROD0137,Product 137,Home
PROD0138,Product 138,Apparel
PROD0139,Product 139,Electronics
PROD0140,Product 140,Beauty
PROD0141,Product 141,Beauty
PROD0142,Product 142,Automotive
PROD0143,Product 143,Beauty
PROD0144,Product 144,Electronics
PROD0145,Product 145,Automotive
PROD0146,Product 146,Apparel
PROD0147,Product 147,Home
PROD0148,Product 148,Office
PROD0149,Product 149,Grocery
PROD0150,Product 150,Sports
PROD0151,Product 151,Grocery
PROD0152,Product 152,Home
PROD0153,Product 153,Apparel
PROD0154,Product 154,Electronics
PROD0155,Product 155,Home
PROD0156,Product 156,Apparel
PROD0157,Product 157,Electronics
PROD0158,Product 158,Automotive
PROD0159,Product 159,Grocery
PROD0160,Product 160,Beauty
PROD0161,Product 161,Automotive
PROD0162,Product 162,Sports
PROD0163,Product 163,Beauty
PROD0164,Product 164,Sports
PROD0165,Product 165,Electronics
PROD0166,Product 166,Electronics
PROD0167,Product 167,Home
PROD0168,Product 168,Sports
PROD0169,Product 169,Electronics
PROD0170,Product 170,Beauty
PROD0171,Product 171,Beauty
PROD0172,Product 172,Apparel
PROD0173,Product 173,Apparel
PROD0174,Product 174,Grocery
PROD0175,Product 175,Sports
PROD0176,Product 176,Electronics
PROD0177,Product 177,Apparel
PROD0178,Product 178,Electronics
PROD0179,Product 179,Office
PROD0180,Product 180,Beauty
PROD0181,Product 181,Sports
PROD0182,Product 182,Grocery
PROD0183,Product 183,Home
PROD0184,Product 184,Apparel
PROD0185,Product 185,Apparel
PROD0186,Product 186,Beauty
PROD0187,Product 187,Sports
PROD0188,Product 188,Sports
PROD0189,Product 189,Sports
PROD0190,Product 190,Office
PROD0191,Product 191,Office
PROD0192,Product 192,Electronics
PROD0193,Product 193,Home
PROD0194,Product 194,Automotive
PROD0195,Product 195,Grocery
PROD0196,Product 196,Beauty
PROD0197,Product 197,Electronics
PROD0198,Product 198,Home
PROD0199,Product 199,Electronics
PROD0200,Product 200,Electronics
PROD0201,Product 201,Beauty
PROD0202,Product 202,Automotive
PROD0203,Product 203,Grocery
PROD0204,Product 204,Home
PROD0205,Product 205,Automotive
PROD0206,Product 206,Grocery
PROD0207,Product 207,Beauty
PROD0208,Product 208,Home
PROD0209,Product 209,Sports
PROD0210,Product 210,Home
PROD0211,Product 211,Grocery
PROD0212,Product 212,Automotive
PROD0213,Product 213,Beauty
PROD0214,Product 214,Grocery
PROD0215,Product 215,Automotive
PROD0216,Product 216,Office
PROD0217,Product 217,Beauty
PROD0218,Product 218,Beauty
PROD0219,Product 219,Home
PROD0220,Product 220,Electronics
PROD0221,Product 221,Automotive
PROD0222,Product 222,Sports
PROD0223,Product 223,Apparel
PROD0224,Product 224,Sports
PROD0225,Product 225,Sports
PROD0226,Product 226,Apparel
PROD0227,Product 227,Electronics
PROD0228,Product 228,Office
PROD0229,Product 229,Office
PROD0230,Product 230,Home
PROD0231,Product 231,Office
PROD0232,Product 232,Sports
PROD0233,Product 233,Automotive
PROD0234,Product 234,Beauty
PROD0235,Product 235,Home
PROD0236,Product 236,Beauty
PROD0237,Product 237,Electronics
PROD0238,Product 238,Apparel
PROD0239,Product 239,Beauty
PROD0240,Product 240,Apparel
PROD0241,Product 241,Office
PROD0242,Product 242,Grocery
PROD0243,Product 243,Electronics
PROD0244,Product 244,Sports
PROD0245,Product 245,Office
PROD0246,Product 246,Automotive
PROD0247,Product 247,Grocery
PROD0248,Product 248,Apparel
PROD0249,Product 249,Sports
PROD0250,Product 250,Apparel
PROD0251,Product 251,Beauty
PROD0252,Product 252,Sports
PROD0253,Product 253,Grocery
PROD0254,Product 254,Office
PROD0255,Product 255,Automotive
PROD0256,Product 256,Sports
PROD0257,Product 257,Beauty
PROD0258,Product 258,Apparel
PROD0259,Product 259,Grocery
PROD0260,Product 260,Grocery
PROD0261,Product 261,Home
PROD0262,Product 262,Automotive
PROD0263,Product 263,Sports
PROD0264,Product 264,Sports
PROD0265,Product 265,Sports
PROD0266,Product 266,Grocery
PROD0267,Product 267,Beauty
PROD0268,Product 268,Apparel
PROD0269,Product 269,Electronics
PROD0270,Product 270,Electronics
PROD0271,Product 271,Beauty
PROD0272,Product 272,Office
PROD0273,Product 273,Grocery
PROD0274,Product 274,Apparel
PROD0275,Product 275,Grocery
PROD0276,Product 276,Sports
PROD0277,Product 277,Beauty
PROD0278,Product 278,Grocery
PROD0279,Product 279,Beauty
PROD0280,Product 280,Home
PROD0281,Product 281,Automotive
PROD0282,Product 282,Grocery
PROD0283,Product 283,Sports
PROD0284,Product 284,Beauty
PROD0285,Product 285,Automotive
PROD0286,Product 286,Sports
PROD0287,Product 287,Automotive
PROD0288,Product 288,Apparel
PROD0289,Product 289,Beauty
PROD0290,Product 290,Automotive
PROD0291,Product 291,Apparel
PROD0292,Product 292,Office
PROD0293,Product 293,Electronics
PROD0294,Product 294,Home
PROD0295,Product 295,Grocery
PROD0296,Product 296,Electronics
PROD0297,Product 297,Grocery
PROD0298,Product 298,Automotive
PROD0299,Product 299,Grocery
PROD0300,Product 300,Automotive
PROD0301,Product 301,Home
PROD0302,Product 302,Electronics
PROD0303,Product 303,Automotive
PROD0304,Product 304,Home
PROD0305,Product 305,Sports
PROD0306,Product 306,Home
PROD0307,Product 307,Sports
PROD0308,Product 308,Electronics
PROD0309,Product 309,Electronics
PROD0310,Product 310,Apparel
PROD0311,Product 311,Automotive
PROD0312,Product 312,Home
PROD0313,Product 313,Office
PROD0314,Product 314,Grocery
PROD0315,Product 315,Apparel
PROD0316,Product 316,Apparel
PROD0317,Product 317,Electronics
PROD0318,Product 318,Automotive
PROD0319,Product 319,Home
PROD0320,Product 320,Automotive
PROD0321,Product 321,Grocery
PROD0322,Product 322,Automotive
PROD0323,Product 323,Office
PROD0324,Product 324,Grocery
PROD0325,Product 325,Electronics
PROD0326,Product 326,Electronics
PROD0327,Product 327,Sports
PROD0328,Product 328,Electronics
PROD0329,Product 329,Sports
PROD0330,Product 330,Grocery
PROD0331,Product 331,Sports
PROD0332,Product 332,Electronics
PROD0333,Product 333,Home
PROD0334,Product 334,Beauty
PROD0335,Product 335,Grocery
PROD0336,Product 336,Automotive
PROD0337,Product 337,Beauty
PROD0338,Product 338,Grocery
PROD0339,Product 339,Automotive
PROD0340,Product 340,Grocery
PROD0341,Product 341,Beauty
PROD0342,Product 342,Office
PROD0343,Product 343,Office
PROD0344,Product 344,Office
PROD0345,Product 345,Office
PROD0346,Product 346,Automotive
PROD0347,Product 347,Home
PROD0348,Product 348,Automotive
PROD0349,Product 349,Automotive
PROD0350,Product 350,Sports
PROD0351,Product 351,Grocery
PROD0352,Product 352,Apparel
PROD0353,Product 353,Home
PROD0354,Product 354,Apparel
PROD0355,Product 355,Apparel
PROD0356,Product 356,Beauty
PROD0357,Product 357,Home
PROD0358,Product 358,Office
PROD0359,Product 359,Beauty
PROD0360,Product 360,Beauty
PROD0361,Product 361,Beauty
PROD0362,Product 362,Sports
PROD0363,Product 363,Beauty
PROD0364,Product 364,Grocery
PROD0365,Product 365,Apparel
PROD0366,Product 366,Automotive
PROD0367,Product 367,Grocery
PROD0368,Product 368,Office
PROD0369,Product 369,Automotive
PROD0370,Product 370,Apparel
PROD0371,Product 371,Automotive
PROD0372,Product 372,Electronics
PROD0373,Product 373,Apparel
PROD0374,Product 374,Sports
PROD0375,Product 375,Office
PROD0376,Product 376,Electronics
PROD0377,Product 377,Electronics
PROD0378,Product 378,Grocery
PROD0379,Product 379,Home
PROD0380,Product 380,Office
PROD0381,Product 381,Electronics
PROD0382,Product 382,Electronics
PROD0383,Product 383,Home
PROD0384,Product 384,Beauty
PROD0385,Product 385,Office
PROD0386,Product 386,Office
PROD0387,Product 387,Beauty
PROD0388,Product 388,Electronics
PROD0389,Product 389,Beauty
PROD0390,Product 390,Apparel
PROD0391,Product 391,Electronics
PROD0392,Product 392,Home
PROD0393,Product 393,Electronics
PROD0394,Product 394,Grocery
PROD0395,Product 395,Grocery
PROD0396,Product 396,Apparel
PROD0397,Product 397,Apparel
PROD0398,Product 398,Apparel
PROD0399,Product 399,Sports
PROD0400,Product 400,Office
PROD0401,Product 401,Beauty
PROD0402,Product 402,Sports
PROD0403,Product 403,Sports
PROD0404,Product 404,Home
PROD0405,Product 405,Beauty
PROD0406,Product 406,Automotive
PROD0407,Product 407,Electronics
PROD0408,Product 408,Apparel
PROD0409,Product 409,Beauty
PROD0410,Product 410,Beauty
PROD0411,Product 411,Sports
PROD0412,Product 412,Beauty
PROD0413,Product 413,Home
PROD0414,Product 414,Electronics
PROD0415,Product 415,Sports
PROD0416,Product 416,Home
PROD0417,Product 417,Office
PROD0418,Product 418,Grocery
PROD0419,Product 419,Sports
PROD0420,Product 420,Home
PROD0421,Product 421,Sports
PROD0422,Product 422,Apparel
PROD0423,Product 423,Home
PROD0424,Product 424,Home
PROD0425,Product 425,Grocery
PROD0426,Product 426,Sports
PROD0427,Product 427,Apparel
PROD0428,Product 428,Home
PROD0429,Product 429,Grocery
PROD0430,Product 430,Beauty
PROD0431,Product 431,Electronics
PROD0432,Product 432,Apparel
PROD0433,Product 433,Sports
PROD0434,Product 434,Apparel
PROD0435,Product 435,Sports
PROD0436,Product 436,Grocery
PROD0437,Product 437,Automotive
PROD0438,Product 438,Apparel
PROD0439,Product 439,Apparel
PROD0440,Product 440,Apparel
PROD0441,Product 441,Sports
PROD0442,Product 442,Electronics
PROD0443,Product 443,Electronics
PROD0444,Product 444,Sports
PROD0445,Product 445,Beauty
PROD0446,Product 446,Beauty
PROD0447,Product 447,Home
PROD0448,Product 448,Grocery
PROD0449,Product 449,Electronics
PROD0450,Product 450,Apparel
PROD0451,Product 451,Home
PROD0452,Product 452,Office
PROD0453,Product 453,Sports
PROD0454,Product 454,Sports
PROD0455,Product 455,Beauty
PROD0456,Product 456,Apparel
PROD0457,Product 457,Sports
PROD0458,Product 458,Sports
PROD0459,Product 459,Beauty
PROD0460,Product 460,Apparel
PROD0461,Product 461,Grocery
PROD0462,Product 462,Automotive
PROD0463,Product 463,Electronics
PROD0464,Product 464,Grocery
PROD0465,Product 465,Beauty
PROD0466,Product 466,Automotive
PROD0467,Product 467,Automotive
PROD0468,Product 468,Grocery
PROD0469,Product 469,Grocery
PROD0470,Product 470,Automotive
PROD0471,Product 471,Electronics
PROD0472,Product 472,Apparel
PROD0473,Product 473,Electronics
PROD0474,Product 474,Office
PROD0475,Product 475,Beauty
PROD0476,Product 476,Apparel
PROD0477,Product 477,Electronics
PROD0478,Product 478,Beauty
PROD0479,Product 479,Electronics
PROD0480,Product 480,Sports
PROD0481,Product 481,Grocery
PROD0482,Product 482,Automotive
PROD0483,Product 483,Home
PROD0484,Product 484,Beauty
PROD0485,Product 485,Automotive
PROD0486,Product 486,Home
PROD0487,Product 487,Beauty
PROD0488,Product 488,Sports
PROD0489,Product 489,Grocery
PROD0490,Product 490,Home
PROD0491,Product 491,Beauty
PROD0492,Product 492,Sports
PROD0493,Product 493,Apparel
PROD0494,Product 494,Home
PROD0495,Product 495,Apparel
PROD0496,Product 496,Home
PROD0497,Product 497,Beauty
PROD0498,Product 498,Grocery
PROD0499,Product 499,Electronics
PROD0500,Product 500,Grocery
