transaction_id,branch_id,transaction_date,customer_id,product_id,quantity,unit_price,discount,revenue
TXN0000022,BR007,2026-03-03,CUST00561,PROD0089,11,1034.21,61.52,11314.79
TXN0000023,BR003,2026-08-17,CUST01962,PROD0021,12,868.3,95.34,10324.26
TXN0000024,BR006,2026-03-22,CUST02720,PROD0010,7,1008.07,68.71,6987.78
TXN0000025,BR001,2026-07-31,CUST02963,PROD0405,12,772.7,10.6,9261.8
TXN0000026,BR006,2026-01-04,CUST01915,PROD0375,7,891.26,59.01,6179.81
TXN0000027,BR001,2026-03-17,CUST01875,PROD0257,15,1301.26,50.89,19468.01
TXN0000028,BR005,2026-07-02,CUST01113,PROD0421,1,986.69,12.93,973.76
TXN0000029,BR007,2026-07-20,CUST01362,PROD0291,8,554.25,39.08,4394.92
TXN0000030,BR006,2026-03-23,CUST01351,PROD0395,3,464.69,31.95,1362.12
TXN0000031,BR007,2026-05-16,CUST00077,PROD0094,11,60.59,19.74,646.75
TXN0000032,BR001,2026-08-12,CUST02130,PROD0203,11,485.28,17.06,5321.02
TXN0000033,BR001,2026-04-15,CUST00274,PROD0106,15,911.68,99.01,13576.19
TXN0000034,BR002,2026-04-02,CUST01495,PROD0355,3,1466.35,13.37,4385.68
TXN0000035,BR005,2026-06-13,CUST01485,PROD0220,12,1187.2,25.04,14221.36
TXN0000036,BR010,2026-03-04,CUST00507,PROD0390,11,1071.59,66.99,11720.5
TXN0000037,BR002,2026-05-11,CUST02270,PROD0202,1,1199.44,0.48,1198.96
TXN0000038,BR008,2026-01-22,CUST01128,PROD0312,14,695.8,85.69,9655.51
TXN0000039,BR001,2026-01-12,CUST00097,PROD0272,13,1232.59,49.9,15973.77
TXN0000040,BR001,2026-07-31,CUST02024,PROD0469,8,1058.2,22.02,8443.58
TXN0000041,BR004,2026-03-19,CUST02216,PROD0369,7,508.9,73.89,3488.41
TXN0000042,BR006,2026-08-31,CUST00784,PROD0203,10,956.45,93.88,9470.62
TXN0000043,BR008,2026-01-09,CUST01115,PROD0267,15,818.75,1.9,12279.35
TXN0000044,BR003,2026-07-06,CUST00653,PROD0446,10,1313.23,43.33,13088.97
TXN0000045,BR002,2026-08-28,CUST00949,PROD0001,9,28.87,64.96,194.87
TXN0000046,BR009,2026-06-16,CUST01853,PROD0345,2,1042.05,10.8,2073.3
TXN0000047,BR001,2026-04-21,CUST02267,PROD0357,14,1072.98,69.97,14951.75
TXN0000048,BR010,2026-04-22,CUST02430,PROD0356,8,1482.64,24.42,11836.7
TXN0000049,BR009,2026-08-25,CUST01911,PROD0235,2,466.07,46.26,885.88
TXN0000050,BR003,2026-06-01,CUST01085,PROD0310,1,1253.49,59.06,1194.43
TXN0000051,BR001,2026-03-27,CUST01603,PROD0348,8,207.87,84.53,1578.43
TXN0000052,BR008,2026-06-14,CUST01853,PROD0396,9,1430.74,90.3,12786.36
TXN0000053,BR008,2026-08-29,CUST00298,PROD0330,14,844.19,96.37,11722.29
TXN0000054,BR003,2026-08-27,CUST01484,PROD0207,9,806.45,38.6,7219.45
TXN0000055,BR009,2026-06-16,CUST01600,PROD0031,2,80.05,32.58,127.52
TXN0000056,BR008,2026-02-05,CUST02882,PROD0419,5,286.41,93.27,1338.78
TXN0000057,BR009,2026-04-03,CUST02799,PROD0417,6,920.33,34.44,5487.54
TXN0000058,BR005,2026-08-09,CUST01129,PROD0314,7,1311.3,6.03,9173.07
TXN0000059,BR003,2026-08-31,CUST00043,PROD0424,9,580.49,75.37,5149.04
TXN0000060,BR010,2026-07-23,CUST00338,PROD0122,5,34.07,1.21,169.14
TXN0000061,BR005,2026-02-20,CUST02407,PROD0004,11,844.63,83.06,9207.87
TXN0000062,BR004,2026-01-29,CUST01029,PROD0142,10,333.96,62.05,3277.55
TXN0000063,BR003,2026-07-07,CUST00430,PROD0086,1,1137.83,99.98,1037.85
TXN0000064,BR003,2026-07-17,CUST01685,PROD0099,15,840.48,7.62,12599.58
TXN0000065,BR009,2026-05-04,CUST00990,PROD0326,4,1186.0,73.95,4670.05
TXN0000066,BR001,2026-05-04,CUST01582,PROD0415,13,198.26,44.85,2532.53
TXN0000067,BR010,2026-08-28,CUST01120,PROD0011,8,252.44,94.49,1925.03
TXN0000068,BR005,2026-01-02,CUST02676,PROD0285,2,120.67,60.34,181.0
TXN0000069,BR004,2026-03-22,CUST01831,PROD0434,14,1422.93,72.5,19848.52
TXN0000070,BR005,2026-03-24,CUST01877,PROD0285,14,864.66,64.24,12041.0
TXN0000071,BR002,2026-06-18,CUST02649,PROD0102,13,1121.67,58.26,14523.45
TXN0000072,BR001,2026-08-28,CUST01415,PROD0204,13,1149.46,44.45,14898.53
TXN0000073,BR001,2026-06-26,CUST02271,PROD0193,5,770.62,30.97,3822.13
TXN0000074,BR003,2026-02-12,CUST02165,PROD0252,15,1106.18,60.81,16531.89
TXN0000075,BR010,2026-05-21,CUST00703,PROD0319,7,1356.47,91.86,9403.43
TXN0000076,BR005,2026-03-21,CUST01915,PROD0492,8,50.49,50.94,352.98
TXN0000077,BR009,2026-04-11,CUST01442,PROD0118,6,699.86,90.02,4109.14
TXN0000078,BR004,2026-08-12,CUST01876,PROD0409,14,232.86,68.84,3191.2
TXN0000079,BR004,2026-02-12,CUST02007,PROD0264,11,670.9,21.02,7358.88
TXN0000080,BR002,2026-06-30,CUST01603,PROD0102,13,1384.05,94.59,17898.06
TXN0000081,BR009,2026-04-22,CUST01975,PROD0414,3,211.1,5.9,627.4
TXN0000082,BR005,2026-03-22,CUST00765,PROD0142,5,72.33,76.2,285.45
TXN0000083,BR010,2026-08-30,CUST00994,PROD0147,14,1146.88,39.89,16016.43
TXN0000084,BR010,2026-04-22,CUST02442,PROD0433,14,864.11,85.58,12011.96
TXN0000085,BR006,2026-05-09,CUST02209,PROD0247,12,222.79,4.12,2669.36
TXN0000086,BR006,2026-06-01,CUST02235,PROD0047,14,566.95,17.67,7919.63
TXN0000087,BR002,2026-07-17,CUST02396,PROD0146,1,992.23,4.49,987.74
TXN0000088,BR001,2026-01-02,CUST02715,PROD0167,11,595.76,91.57,6461.79
TXN0000089,BR005,2026-05-25,CUST00316,PROD0346,10,64.8,75.26,572.74
TXN0000090,BR010,2026-07-03,CUST01597,PROD0176,4,492.34,18.83,1950.53
TXN0000091,BR002,2026-06-03,CUST02043,PROD0066,1,953.72,53.36,900.36
TXN0000092,BR004,2026-01-18,CUST00661,PROD0211,1,1280.2,19.59,1260.61
TXN0000093,BR006,2026-07-08,CUST02497,PROD0481,7,311.73,79.0,2103.11
TXN0000094,BR003,2026-07-09,CUST00087,PROD0157,6,959.77,3.89,5754.73
TXN0000095,BR008,2026-08-21,CUST00692,PROD0045,12,418.18,80.58,4937.58
TXN0000096,BR004,2026-01-23,CUST00418,PROD0366,10,1235.59,59.65,12296.25
TXN0000097,BR003,2026-08-09,CUST01698,PROD0136,1,309.91,31.72,278.19
TXN0000098,BR008,2026-07-16,CUST00243,PROD0276,9,502.43,61.42,4460.45
TXN0000099,BR001,2026-04-03,CUST02197,PROD0196,2,912.13,27.04,1797.22
TXN0000100,BR007,2026-04-04,CUST02944,PROD0390,8,807.39,83.97,6375.15
TXN0000101,BR007,2026-06-02,CUST01199,PROD0204,14,1478.62,80.56,20620.12
TXN0000102,BR002,2026-08-03,CUST01875,PROD0039,11,426.83,78.31,4616.82
TXN0000103,BR004,2026-01-09,CUST02173,PROD0018,13,295.37,32.82,3806.99
TXN0000104,BR004,2026-03-27,CUST02225,PROD0279,8,1432.29,15.97,11442.35
TXN0000105,BR002,2026-07-12,CUST02358,PROD0030,8,408.8,75.03,3195.37
TXN0000106,BR003,2026-04-16,CUST00570,PROD0195,13,612.05,26.15,7930.5
TXN0000107,BR008,2026-08-08,CUST01260,PROD0108,11,345.28,22.18,3775.9
TXN0000108,BR007,2026-02-11,CUST01751,PROD0143,8,1371.29,51.69,10918.63
TXN0000109,BR006,2026-02-28,CUST01061,PROD0300,12,908.92,14.57,10892.47
TXN0000110,BR006,2026-06-06,CUST00329,PROD0490,15,1071.51,2.44,16070.21
TXN0000111,BR007,2026-04-06,CUST02244,PROD0427,1,73.96,11.53,62.43
TXN0000112,BR001,2026-02-06,CUST00934,PROD0334,3,288.49,97.74,767.73
TXN0000113,BR008,2026-05-15,CUST02805,PROD0275,13,940.06,57.78,12163.0
TXN0000114,BR009,2026-04-11,CUST02933,PROD0111,6,1109.99,97.74,6562.2
TXN0000115,BR007,2026-06-12,CUST01661,PROD0462,6,1107.8,26.87,6619.93
TXN0000116,BR006,2026-01-19,CUST00885,PROD0480,9,1412.81,71.98,12643.31
TXN0000117,BR004,2026-08-20,CUST01846,PROD0497,9,640.36,82.59,5680.65
TXN0000118,BR010,2026-05-04,CUST00799,PROD0017,3,908.06,53.01,2671.17
TXN0000119,BR001,2026-05-02,CUST00549,PROD0449,11,1368.37,12.72,15039.35
TXN0000120,BR008,2026-04-27,CUST00864,PROD0217,5,977.62,39.34,4848.76
TXN0000121,BR010,2026-04-09,CUST02488,PROD0229,11,826.1,54.32,9032.78
TXN0000122,BR005,2026-08-30,CUST01819,PROD0215,1,290.64,23.34,267.3
TXN0000123,BR001,2026-06-21,CUST02094,PROD0079,14,983.14,55.59,13708.37
TXN0000124,BR010,2026-08-20,CUST01261,PROD0236,15,571.47,43.6,8528.45
TXN0000125,BR007,2026-07-17,CUST01582,PROD0142,15,132.13,36.78,1945.17
TXN0000126,BR005,2026-04-27,CUST02549,PROD0484,8,1394.52,76.1,11080.06
TXN0000127,BR005,2026-01-05,CUST00715,PROD0162,14,1427.76,86.8,19901.84
TXN0000128,BR009,2026-06-12,CUST01401,PROD0184,11,1137.49,71.45,12440.94
TXN0000129,BR001,2026-03-27,CUST02547,PROD0413,13,374.98,99.34,4775.4
TXN0000130,BR001,2026-02-03,CUST01146,PROD0002,7,897.61,54.43,6228.84
TXN0000131,BR002,2026-01-10,CUST00268,PROD0095,15,1253.75,50.14,18756.11
TXN0000132,BR010,2026-01-14,CUST01024,PROD0466,9,315.22,40.28,2796.7
TXN0000133,BR005,2026-04-19,CUST00178,PROD0373,8,182.62,47.46,1413.5
TXN0000134,BR010,2026-07-30,CUST00419,PROD0465,7,943.03,20.2,6581.01
TXN0000135,BR008,2026-07-06,CUST00185,PROD0189,5,1381.63,70.03,6838.12
TXN0000136,BR002,2026-03-27,CUST02510,PROD0053,8,772.19,98.17,6079.35
TXN0000137,BR010,2026-02-23,CUST01216,PROD0126,15,182.31,83.98,2650.67
TXN0000138,BR009,2026-06-23,CUST01436,PROD0446,4,1114.34,89.61,4367.75
TXN0000139,BR006,2026-01-08,CUST00480,PROD0050,11,567.59,42.48,6201.01
TXN0000140,BR005,2026-02-21,CUST01355,PROD0260,8,799.62,20.41,6376.55
TXN0000141,BR008,2026-02-20,CUST01227,PROD0158,14,637.16,1.91,8918.33
TXN0000142,BR003,2026-07-26,CUST00226,PROD0258,15,860.66,90.62,12819.28
TXN0000143,BR007,2026-05-03,CUST02829,PROD0435,15,883.38,84.2,13166.5
TXN0000144,BR008,2026-03-12,CUST00969,PROD0469,8,1297.18,42.05,10335.39
TXN0000145,BR002,2026-08-18,CUST00950,PROD0217,5,64.4,53.56,268.44
TXN0000146,BR001,2026-07-05,CUST00947,PROD0025,1,1215.34,56.02,1159.32
TXN0000147,BR003,2026-04-08,CUST02646,PROD0176,9,1316.06,90.4,11754.14
TXN0000148,BR006,2026-08-04,CUST00977,PROD0173,14,15.65,46.28,172.82
TXN0000149,BR007,2026-02-22,CUST01043,PROD0412,12,200.11,35.51,2365.81
TXN0000150,BR008,2026-01-02,CUST02735,PROD0424,1,988.63,21.12,967.51
TXN0000151,BR005,2026-05-03,CUST01127,PROD0181,7,1157.04,73.3,8025.98
TXN0000152,BR006,2026-05-05,CUST00713,PROD0203,11,663.34,21.26,7275.48
TXN0000153,BR002,2026-02-24,CUST01377,PROD0144,15,657.22,69.19,9789.11
TXN0000154,BR001,2026-07-19,CUST01734,PROD0192,8,1057.13,79.33,8377.71
TXN0000155,BR001,2026-01-06,CUST00300,PROD0040,13,1293.33,0.5,16812.79
TXN0000156,BR005,2026-03-25,CUST01582,PROD0467,11,516.33,18.46,5661.17
TXN0000157,BR001,2026-08-17,CUST01157,PROD0015,4,598.87,48.36,2347.12
TXN0000158,BR004,2026-03-16,CUST00448,PROD0142,15,480.77,50.65,7160.9
TXN0000159,BR001,2026-08-14,CUST02998,PROD0336,10,524.17,97.46,5144.24
TXN0000160,BR010,2026-06-20,CUST00299,PROD0024,8,1315.63,95.9,10429.14
TXN0000161,BR009,2026-02-07,CUST00789,PROD0482,12,258.15,55.04,3042.76
TXN0000162,BR010,2026-06-26,CUST00454,PROD0404,12,836.19,75.38,9958.9
TXN0000163,BR008,2026-08-06,CUST02856,PROD0171,5,79.57,8.32,389.53
TXN0000164,BR004,2026-07-27,CUST02639,PROD0258,14,687.6,86.63,9539.77
TXN0000165,BR008,2026-03-10,CUST00940,PROD0322,4,319.74,83.52,1195.44
TXN0000166,BR007,2026-08-14,CUST00794,PROD0456,14,23.37,63.32,263.86
TXN0000167,BR003,2026-05-09,CUST01420,PROD0135,12,632.28,31.48,7555.88
TXN0000168,BR007,2026-01-28,CUST01816,PROD0295,6,489.73,1.04,2937.34
TXN0000169,BR005,2026-02-10,CUST02695,PROD0254,9,433.39,50.38,3850.13
TXN0000170,BR002,2026-01-12,CUST00793,PROD0448,6,701.29,46.19,4161.55
TXN0000171,BR006,2026-01-26,CUST02230,PROD0180,9,1434.09,28.99,12877.82
TXN0000172,BR002,2026-03-27,CUST02383,PROD0265,4,804.9,81.48,3138.12
TXN0000173,BR002,2026-08-18,CUST01048,PROD0106,2,459.12,1.2,917.04
TXN0000174,BR008,2026-06-10,CUST01953,PROD0390,13,126.85,88.99,1560.06
TXN0000175,BR009,2026-04-10,CUST01062,PROD0217,9,1317.5,56.91,11800.59
TXN0000176,BR001,2026-07-05,CUST01665,PROD0269,7,319.73,9.28,2228.83
TXN0000177,BR010,2026-03-30,CUST01749,PROD0229,5,1093.5,69.98,5397.52
TXN0000178,BR005,2026-06-10,CUST01750,PROD0377,2,162.87,81.44,244.3
TXN0000179,BR006,2026-08-18,CUST00853,PROD0301,15,937.28,41.95,14017.25
TXN0000180,BR004,2026-07-24,CUST02876,PROD0179,11,158.09,80.24,1658.75
TXN0000181,BR005,2026-03-27,CUST00253,PROD0391,5,892.37,89.46,4372.39
TXN0000182,BR007,2026-01-14,CUST01298,PROD0097,2,731.51,4.53,1458.49
TXN0000183,BR009,2026-03-26,CUST00373,PROD0085,6,635.43,93.13,3719.45
TXN0000184,BR002,2026-07-27,CUST02432,PROD0398,5,1425.04,95.62,7029.58
TXN0000185,BR007,2026-06-17,CUST01680,PROD0357,10,1243.51,41.59,12393.51
TXN0000186,BR009,2026-01-27,CUST02669,PROD0316,5,605.6,10.17,3017.83
TXN0000187,BR007,2026-04-29,CUST00769,PROD0012,7,1338.88,11.55,9360.61
TXN0000188,BR009,2026-05-04,CUST00342,PROD0361,7,323.31,23.88,2239.29
TXN0000189,BR009,2026-08-25,CUST00688,PROD0039,1,1245.01,51.87,1193.14
TXN0000190,BR004,2026-02-15,CUST02729,PROD0463,3,1372.88,0.46,4118.18
TXN0000191,BR006,2026-03-20,CUST02570,PROD0009,4,220.18,99.28,781.44
TXN0000192,BR007,2026-08-08,CUST02283,PROD0128,1,899.05,91.41,807.64
TXN0000193,BR009,2026-08-31,CUST02778,PROD0163,13,774.26,30.21,10035.17
TXN0000194,BR002,2026-08-21,CUST01274,PROD0324,6,223.62,90.88,1250.84
TXN0000195,BR004,2026-07-02,CUST02468,PROD0251,10,608.63,52.06,6034.24
TXN0000196,BR004,2026-07-17,CUST00815,PROD0010,6,230.06,39.45,1340.91
TXN0000197,BR009,2026-03-06,CUST00468,PROD0445,10,1003.96,6.79,10032.81
TXN0000198,BR004,2026-08-14,CUST02176,PROD0068,8,1087.13,37.81,8659.23
TXN0000199,BR009,2026-02-16,CUST02266,PROD0207,5,461.33,77.77,2228.88
TXN0000200,BR002,2026-05-15,CUST02831,PROD0168,15,1480.78,22.33,22189.37
TXN0000201,BR006,2026-08-12,CUST00495,PROD0257,10,17.38,43.45,130.35
TXN0000202,BR002,2026-04-16,CUST00585,PROD0100,13,1077.42,70.04,13936.42
TXN0000203,BR010,2026-07-15,CUST02206,PROD0046,13,548.37,72.47,7056.34
TXN0000204,BR001,2026-05-02,CUST02374,PROD0481,10,1436.11,39.24,14321.86
TXN0000205,BR009,2026-04-29,CUST00485,PROD0031,11,1081.25,78.42,11815.33
TXN0000206,BR004,2026-08-02,CUST00126,PROD0379,13,1203.56,1.48,15644.8
TXN0000207,BR004,2026-08-11,CUST01363,PROD0445,2,1167.36,22.08,2312.64
TXN0000208,BR007,2026-05-13,CUST02261,PROD0013,11,1373.27,89.25,15016.72
TXN0000209,BR004,2026-01-26,CUST00084,PROD0311,9,667.54,11.12,5996.74
TXN0000210,BR004,2026-01-28,CUST01650,PROD0244,4,861.49,58.56,3387.4
TXN0000211,BR007,2026-02-08,CUST02924,PROD0411,7,683.92,82.05,4705.39
TXN0000212,BR003,2026-08-06,CUST01702,PROD0327,15,525.57,34.04,7849.51
TXN0000213,BR010,2026-05-30,CUST01130,PROD0203,3,981.96,7.37,2938.51
TXN0000214,BR010,2026-07-19,CUST01267,PROD0348,7,690.47,88.13,4745.16
TXN0000215,BR005,2026-07-16,CUST00346,PROD0062,8,1453.77,45.49,11584.67
TXN0000216,BR009,2026-06-16,CUST02075,PROD0229,10,585.23,89.26,5763.04
TXN0000217,BR009,2026-06-18,CUST02294,PROD0297,1,123.68,30.92,92.76
TXN0000218,BR001,2026-03-31,CUST02777,PROD0430,15,1136.69,20.27,17030.08
TXN0000219,BR003,2026-07-14,CUST02898,PROD0395,12,316.59,82.75,3716.33
TXN0000220,BR003,2026-04-26,CUST01365,PROD0390,11,217.22,99.66,2289.76
TXN0000221,BR004,2026-02-24,CUST00702,PROD0375,15,1364.01,16.84,20443.31
TXN0000222,BR009,2026-08-12,CUST00402,PROD0056,7,701.34,30.22,4879.16
TXN0000223,BR002,2026-02-18,CUST00653,PROD0199,11,519.08,39.39,5670.49
TXN0000224,BR002,2026-06-07,CUST02598,PROD0463,7,1249.79,91.91,8656.62
TXN0000225,BR007,2026-08-09,CUST00979,PROD0195,11,1283.04,3.49,14109.95
TXN0000226,BR001,2026-02-12,CUST00854,PROD0270,3,950.03,91.98,2758.11
TXN0000227,BR007,2026-04-29,CUST02525,PROD0344,9,18.23,41.02,123.05
TXN0000228,BR008,2026-02-05,CUST01616,PROD0361,5,865.73,87.12,4241.53
TXN0000229,BR006,2026-06-04,CUST00231,PROD0358,3,640.63,53.57,1868.32
TXN0000230,BR010,2026-04-06,CUST00661,PROD0022,5,394.01,63.68,1906.37
TXN0000231,BR009,2026-05-17,CUST01307,PROD0382,10,1248.59,44.9,12441.0
TXN0000232,BR007,2026-08-09,CUST02940,PROD0236,2,19.32,9.66,28.98
TXN0000233,BR005,2026-04-10,CUST00312,PROD0038,14,819.93,47.0,11432.02
TXN0000234,BR003,2026-03-24,CUST00802,PROD0133,14,904.4,5.76,12655.84
TXN0000235,BR002,2026-04-17,CUST02236,PROD0258,11,35.11,34.26,351.95
TXN0000236,BR009,2026-04-05,CUST01525,PROD0453,4,11.42,11.42,34.26
TXN0000237,BR004,2026-01-29,CUST00015,PROD0028,2,30.88,15.44,46.32
TXN0000238,BR010,2026-07-21,CUST00872,PROD0476,3,305.48,21.24,895.2
TXN0000239,BR003,2026-05-18,CUST02944,PROD0175,11,74.04,63.08,751.36
TXN0000240,BR010,2026-05-11,CUST00755,PROD0390,6,153.87,23.32,899.9
TXN0000241,BR010,2026-05-25,CUST02257,PROD0029,7,447.02,50.14,3079.0
TXN0000242,BR001,2026-03-05,CUST02273,PROD0445,6,1068.79,32.04,6380.7
TXN0000243,BR001,2026-07-20,CUST00227,PROD0449,9,1195.75,2.08,10759.67
TXN0000244,BR010,2026-08-10,CUST02421,PROD0247,5,835.51,30.49,4147.06
TXN0000245,BR010,2026-03-14,CUST01603,PROD0251,7,444.41,81.86,3029.01
TXN0000246,BR002,2026-05-25,CUST02376,PROD0478,4,1476.35,73.04,5832.36
TXN0000247,BR006,2026-01-27,CUST00261,PROD0176,13,146.07,75.94,1822.97
TXN0000248,BR007,2026-01-29,CUST02973,PROD0073,5,777.62,56.19,3831.91
TXN0000249,BR005,2026-04-15,CUST00743,PROD0500,8,22.46,44.92,134.76
TXN0000250,BR008,2026-05-05,CUST01873,PROD0343,8,514.06,28.91,4083.57
TXN0000251,BR006,2026-02-25,CUST02044,PROD0193,5,1124.56,94.23,5528.57
TXN0000252,BR002,2026-08-11,CUST01259,PROD0304,5,60.24,33.76,267.44
TXN0000253,BR005,2026-03-30,CUST00779,PROD0047,11,541.54,75.51,5881.43
TXN0000254,BR005,2026-02-02,CUST02263,PROD0215,11,1399.82,50.85,15347.17
TXN0000255,BR002,2026-05-17,CUST00295,PROD0382,4,179.27,98.67,618.41
TXN0000256,BR006,2026-02-02,CUST02576,PROD0324,8,775.58,81.71,6122.93
TXN0000257,BR002,2026-03-06,CUST00081,PROD0251,2,1451.02,23.05,2878.99
TXN0000258,BR001,2026-06-18,CUST00446,PROD0137,5,851.55,34.42,4223.33
TXN0000259,BR004,2026-05-29,CUST01485,PROD0355,7,179.6,36.53,1220.67
TXN0000260,BR001,2026-02-09,CUST02500,PROD0385,15,1143.86,9.74,17148.16
TXN0000261,BR004,2026-02-20,CUST01735,PROD0207,1,1467.13,55.29,1411.84
TXN0000262,BR009,2026-07-26,CUST02173,PROD0125,12,476.78,55.32,5666.04
TXN0000263,BR010,2026-07-15,CUST02509,PROD0491,1,1092.28,95.03,997.25
TXN0000264,BR007,2026-08-24,CUST01130,PROD0375,2,153.47,65.31,241.63
TXN0000265,BR010,2026-05-09,CUST01745,PROD0112,3,821.04,30.45,2432.67
TXN0000266,BR005,2026-06-23,CUST02684,PROD0440,15,1068.28,8.84,16015.36
TXN0000267,BR003,2026-01-28,CUST00744,PROD0248,10,694.82,69.5,6878.7
TXN0000268,BR003,2026-05-01,CUST01217,PROD0245,9,472.46,25.84,4226.3
TXN0000269,BR009,2026-03-27,CUST01673,PROD0273,12,44.58,10.19,524.77
TXN0000270,BR003,2026-03-30,CUST01823,PROD0442,7,1075.36,69.33,7458.19
TXN0000271,BR009,2026-02-09,CUST01552,PROD0167,14,628.76,70.39,8732.25
TXN0000272,BR009,2026-06-05,CUST00113,PROD0250,7,1275.4,42.47,8885.33
TXN0000273,BR003,2026-07-31,CUST02761,PROD0329,14,419.07,71.88,5795.1
TXN0000274,BR004,2026-05-16,CUST02188,PROD0077,9,893.26,85.53,7953.81
TXN0000275,BR006,2026-06-09,CUST00504,PROD0319,6,296.21,30.07,1747.19
TXN0000276,BR005,2026-08-20,CUST00087,PROD0054,9,402.46,47.93,3574.21
TXN0000277,BR001,2026-04-28,CUST02979,PROD0155,8,1456.2,93.32,11556.28
TXN0000278,BR006,2026-06-09,CUST02232,PROD0236,2,1022.65,41.72,2003.58
TXN0000279,BR002,2026-04-09,CUST00140,PROD0073,13,1308.24,3.77,17003.35
TXN0000280,BR001,2026-01-25,CUST00755,PROD0448,3,1348.17,67.3,3977.21
TXN0000281,BR007,2026-04-26,CUST00012,PROD0324,6,279.62,30.59,1647.13
TXN0000282,BR004,2026-07-05,CUST01763,PROD0230,14,564.17,6.21,7892.17
TXN0000283,BR010,2026-07-26,CUST02993,PROD0401,1,1188.55,42.37,1146.18
TXN0000284,BR008,2026-08-28,CUST02922,PROD0079,1,876.1,5.04,871.06
TXN0000285,BR008,2026-01-16,CUST00665,PROD0472,13,986.75,34.65,12793.1
TXN0000286,BR005,2026-06-15,CUST01708,PROD0448,6,1317.69,48.25,7857.89
TXN0000287,BR007,2026-04-15,CUST02194,PROD0102,6,235.92,48.5,1367.02
TXN0000288,BR007,2026-07-09,CUST00537,PROD0320,5,794.92,79.02,3895.58
TXN0000289,BR003,2026-01-06,CUST00465,PROD0426,6,814.06,90.82,4793.54
TXN0000290,BR003,2026-04-07,CUST02228,PROD0226,4,698.89,2.56,2793.0
TXN0000291,BR004,2026-06-08,CUST01261,PROD0013,9,778.29,83.21,6921.4
TXN0000292,BR003,2026-06-05,CUST02923,PROD0292,7,545.82,64.9,3755.84
TXN0000293,BR005,2026-06-20,CUST01155,PROD0209,15,1065.83,16.59,15970.86
TXN0000294,BR003,2026-07-22,CUST01249,PROD0145,9,567.96,93.46,5018.18
TXN0000295,BR001,2026-04-03,CUST01590,PROD0106,15,1423.79,17.98,21338.87
TXN0000296,BR006,2026-08-20,CUST02591,PROD0052,1,275.45,59.65,215.8
TXN0000297,BR002,2026-01-04,CUST02057,PROD0116,2,456.16,16.3,896.02
TXN0000298,BR002,2026-04-27,CUST00915,PROD0189,9,1495.9,4.49,13458.61
TXN0000299,BR010,2026-02-11,CUST01741,PROD0219,4,1450.39,46.4,5755.16
TXN0000300,BR004,2026-07-01,CUST01870,PROD0338,7,17.13,19.91,100.0
TXN0000301,BR002,2026-07-17,CUST02753,PROD0215,12,150.12,30.02,1771.42
TXN0000302,BR005,2026-01-01,CUST02901,PROD0182,9,521.8,99.07,4597.13
TXN0000303,BR006,2026-06-25,CUST01750,PROD0041,13,906.98,29.82,11760.92
TXN0000304,BR009,2026-03-17,CUST02334,PROD0176,1,449.46,26.89,422.57
TXN0000305,BR005,2026-02-03,CUST00710,PROD0147,9,302.83,38.25,2687.22
TXN0000306,BR001,2026-05-14,CUST00285,PROD0202,14,1215.34,12.83,17001.93
TXN0000307,BR001,2026-01-03,CUST01348,PROD0126,2,412.13,53.24,771.02
TXN0000308,BR001,2026-07-19,CUST01407,PROD0025,10,1334.56,66.58,13279.02
